"","P2","P3","P4","P6_9","P8_1","P8_2","P8_3","P8_4","P8_5","P9_2","P9_4","P9_5","P10_1","P10_2","P11_1","P11_2","P11_3","P11_6","P17_4","P17_6","P17_18","P18_2","P18_3","P18_4","P20_1","P20_2","P20_4","P20_5","P20_6","P20_7","P20_10","P34_5","P34_9","P36_2","P36_3","P36_4","P38","P39_1","P39_2","P39_3","P39_4","P39_5","P41_1","P41_2","P41_3","P41_4","P41_5","P41_6","P41_7","P41_8","P45_1","P45_2","P45_3","P46_1","P46_2","P46_3","P46_4","P46_5","P47_1","P47_2","P47_3","P47_4"
"P20_4",0.581,0.968,0.668,0.764,1,1,0.068,1,0.762,0.989,1,1,0.693,0.403,0.304,0.383,0.005,0.451,0.247,0.563,0.05,0.561,1,1,1,0.643,NA,0,0.005,0.309,1,0.084,0.81,0.84,0.84,0.454,0.206,0.924,0.866,0.097,0.546,1,0.537,1,0.031,1,0.94,0.179,0.84,0.116,1,0.04,1,0.54,0.606,0.887,0.693,1,0.005,0.247,0.246,1
"P20_5",0.471,0.614,0.546,0.946,1,0.76,0.578,1,1,1,1,1,0.823,1,1,0.116,0.112,0.669,0.916,0.837,0.202,1,1,1,1,1,0,NA,0.447,0.287,0.76,0.222,0.549,1,0.909,0.139,0.691,1,1,0.76,1,1,1,0.619,0.074,1,1,0.447,0.909,0.688,0.139,0.244,0.909,1,0.442,0.936,0.823,0.669,0.056,0.759,0.758,1
"P20_6",0.526,0.864,0.163,0.402,1,0.289,0.965,0.924,1,1,1,0.06,0.743,1,0.985,0.031,0.831,0.094,0.675,0.679,0.533,1,0.749,0.942,0.83,1,0.005,0.447,NA,0.666,0.289,0.362,0.843,0.79,0.79,0.621,0.201,0.527,1,0.111,0.831,0.743,0.133,1,0.01,1,0.028,0.527,0.79,1,0.808,0.185,0.589,0.001,0.261,0.851,0.603,0.296,0.161,0.607,0.197,0.828
"P20_7",0.459,0.715,0.337,0.331,0.347,1,0.785,0.479,0.748,0.156,0.688,1,0.369,1,0.979,0.45,0.319,0.761,0.011,0.003,0.828,0.806,0.229,0.019,0.868,0.683,0.309,0.287,0.666,NA,0.775,0.136,0.067,0.081,0.1,0.692,0.237,0.351,1,0.414,0.961,0.369,0.285,0.069,0.291,0.034,0.759,0.265,0.246,0.883,0.401,0.739,0.499,0.856,1,0.125,1,0.358,0.274,0.765,0.461,0.309
"P20_10",0.08,1,0.276,0.309,0.083,0.32,0.441,1,1,0.367,1,0.664,1,1,0.483,0.662,1,0.738,0.273,0.815,0.171,0.701,1,1,0.473,0.807,1,0.76,0.289,0.775,NA,0.739,0.97,0.799,0.799,0.36,0.512,0.861,0.246,0.284,0.808,0.945,0.314,1,0.722,1,0.89,1,0.709,0.414,1,1,0.799,0.345,1,1,0.945,0.738,0.876,0.395,0.929,0.705
"P34_5",0.35,0.242,0.537,0.002,0.052,0.697,0.268,0.075,0.151,0.575,0.941,0.902,0.342,0.006,0.273,0.318,0.019,0.464,0.002,0.001,0,0.7,0.17,0.204,0.217,0.618,0.084,0.222,0.362,0.136,0.739,NA,0,0.158,0.063,0.417,0.11,0.128,0.538,0.446,0.738,0.738,0.087,0.699,0.176,0.369,0.531,0.843,0.092,0.979,0.156,0.04,0.621,0.531,0.115,0.483,0.585,0.933,0.044,0.91,0.989,0.219
"P34_9",0.689,0.842,0.8,0.017,0.63,0.97,0.398,0.942,0.691,0.077,0.989,0.835,0.665,0.072,0.731,0.312,0.757,0.57,0.009,0,0.001,0.536,0.218,0.8,0.648,0.866,0.81,0.549,0.843,0.067,0.97,0,NA,0.947,0.607,0.86,0.334,0.022,0.696,0.559,0.243,0.904,0.373,0.802,0.496,0.696,0.362,0.802,0.317,0.641,0.725,0.477,0.039,0.096,0.008,0.59,0.574,0.689,0.696,0.351,0.508,0.027
"P36_2",0.921,0.192,0.183,0.528,0.846,0.378,0.201,0.414,0.626,1,0.909,0.689,0.485,0.228,0.665,0.821,0.044,0.208,0.174,0.134,0.366,0.799,0.833,0.066,0.334,0.34,0.84,1,0.79,0.081,0.799,0.158,0.947,NA,0.155,1,0.626,0.589,0.103,0.799,1,0.613,0.053,0.748,0.016,0.016,0.833,0.589,0.151,0.848,0.293,0.037,1,0.682,0.037,0.197,1,0.25,0.582,0.169,0.58,0.609
"P36_3",0.72,0.9,0.779,0.651,0.153,0.004,1,0.222,1,0.702,0.909,0.689,0.923,0.83,0.608,1,1,0.852,0.288,0.509,0.198,0.799,1,1,0.005,0.34,0.84,0.909,0.79,0.1,0.799,0.063,0.607,0.155,NA,0.118,0.289,0.284,0.93,1,0.434,0.923,0.638,1,0.869,0.145,0.495,0.589,1,0.848,0.118,0.268,0.046,0.95,0.251,1,1,1,0.582,0.789,0.908,1
"P36_4",0.069,0.038,0.717,0.994,0.056,0.136,0.603,0.853,1,0.418,0.139,0.196,1,0.397,0.181,0.441,0.007,1,0.289,0.588,0.053,0.733,0.15,0.132,0.652,0.01,0.454,0.139,0.621,0.692,0.36,0.417,0.86,1,0.118,NA,0.163,0.808,0.092,0.42,0.474,0.118,0.257,0.327,0.379,0.017,0.847,0.621,0.118,0.2,0.336,0.433,0.115,0.255,0.373,0.379,1,1,0.888,0.003,0.032,0.029
"P38",0.086,0.681,0.762,0.122,0.391,0.033,0.563,0.414,0.71,0.034,0.691,0.83,0.28,0.974,0.205,0.396,0.394,0.116,0.078,0.216,0.068,0.92,0.001,0.272,0.64,0.543,0.206,0.691,0.201,0.237,0.512,0.11,0.334,0.626,0.289,0.163,NA,0.582,0.787,0.348,0.423,0.56,0.084,0.222,0.104,0.396,0.856,0.797,0.576,0.227,0.806,0.022,0.114,0.459,0.422,0.453,0.777,0.586,0.026,0.126,0.111,0.725
"P39_1",0.306,0.616,0.03,0.469,0.136,0.478,0.476,0.924,0.462,0.438,1,0.756,1,1,0.517,0.915,0.831,0.296,0.831,0.901,0.261,0.111,0.028,0.942,0.83,0.889,0.924,1,0.527,0.351,0.861,0.128,0.022,0.589,0.284,0.808,0.582,NA,0.007,0.478,0.05,1,0.572,0.421,0.544,1,1,0.077,0.79,0.666,0.808,0.452,1,0.454,1,1,0.743,0.753,0.749,0.198,1,1
"P39_2",0.463,1,0.427,0.561,0.825,1,1,0.866,0.883,0.62,0.494,0.369,0.73,1,0.343,0.668,0.07,1,0.66,0.334,0.822,0.592,0.691,1,0.321,0.052,0.866,1,1,1,0.246,0.538,0.696,0.103,0.93,0.092,0.787,0.007,NA,1,1,1,0.718,0.965,0.994,0.014,1,0.614,0.103,0.142,0.784,1,0.493,0.366,0.159,0.126,0.73,0.457,0.867,0.001,0.281,1
"P39_3",0.285,0.011,0.152,0.268,0.96,0.284,0.429,0.561,0.308,0.979,1,0.204,0.466,1,0.391,0.662,1,0.021,0.142,0.463,0.689,0.284,0.89,0.192,0.746,0.16,0.097,0.76,0.111,0.414,0.284,0.446,0.559,0.799,1,0.42,0.348,0.478,1,NA,0.808,0.04,0.547,0.105,0.793,1,1,0.478,0.799,0.775,0.167,0.269,0.131,0.67,0.664,0.134,0.466,0.846,0.527,0.012,0.087,1
"P39_4",0.715,0.217,0.413,0.047,1,1,0.779,1,1,1,1,1,0.74,1,1,1,1,0.929,0.594,0.743,0.608,1,0.702,1,1,1,0.546,1,0.831,0.961,0.808,0.738,0.243,1,0.434,0.474,0.423,0.05,1,0.808,NA,1,1,0.966,1,1,1,1,0.649,0.961,1,1,1,0.721,0.557,0.621,0.74,0.929,0.858,0.49,0.492,1
"P39_5",0.304,0.131,0.396,0.582,0.817,1,0.415,1,0.428,0.86,0.823,0.148,0.419,0.162,0.472,1,0.332,0.77,0.363,0.733,0.291,0.553,0.993,0.371,0.238,0.126,1,1,0.743,0.369,0.945,0.738,0.904,0.613,0.923,0.118,0.56,1,1,0.04,1,NA,0.141,1,0.564,0.639,0.993,0.239,0.613,0.369,0.523,0.864,0.268,1,1,0.242,1,0.191,0.685,0.68,0.822,1
"P41_1",0,1,0.637,0.367,0.507,0.123,0.371,0.137,1,0.39,0.727,0.967,0.659,1,0.12,0.928,1,0.695,0.944,0.632,0.956,0.638,0.735,0.914,1,0.79,0.537,1,0.133,0.285,0.314,0.087,0.373,0.053,0.638,0.257,0.084,0.572,0.718,0.547,1,0.141,NA,0.699,0.002,1,0.271,0.902,0.338,0.002,0.046,0.006,0.138,0.537,0.61,0.874,0.942,1,0.839,0.114,0.032,1
