"","P2","P3","P4","P6_9","P8_1","P8_2","P8_3","P8_4","P8_5","P9_2","P9_4","P9_5","P10_1","P10_2","P11_1","P11_2","P11_3","P11_6","P17_4","P17_6","P17_18","P18_2","P18_3","P18_4","P20_1","P20_2","P20_4","P20_5","P20_6","P20_7","P20_10","P34_5","P34_9","P36_2","P36_3","P36_4","P38","P39_1","P39_2","P39_3","P39_4","P39_5","P41_1","P41_2","P41_3","P41_4","P41_5","P41_6","P41_7","P41_8","P45_1","P45_2","P45_3","P46_1","P46_2","P46_3","P46_4","P46_5","P47_1","P47_2","P47_3","P47_4"
"P38",0.306,0.81,0.744,0.095,0.314,0.052,0.458,0.681,0.769,0.002,0.695,0.894,0.161,0.971,0.162,0.377,0.399,0.221,0.043,0.241,0.019,0.635,0.003,0.171,0.6,0.376,0.211,0.695,0.207,0.186,0.708,0.167,0.174,0.651,0.294,0.161,NA,0.663,0.745,0.302,0.394,0.494,0.059,0.166,0.108,0.402,0.749,0.788,0.538,0.168,0.554,0.022,0.183,0.366,0.281,0.369,0.735,0.711,0.02,0.092,0.127,0.839
"P39_1",0.306,0.616,0.061,0.462,0.136,0.478,0.476,0.924,0.462,0.438,1,0.756,1,1,0.517,0.915,0.831,0.296,0.769,0.903,0.272,0.111,0.028,0.942,0.83,0.889,0.924,1,0.527,0.351,0.861,0.13,0.022,0.589,0.284,0.808,0.663,NA,0.007,0.478,0.05,1,0.572,0.421,0.544,1,1,0.077,0.79,0.666,0.808,0.452,1,0.454,1,1,0.743,0.753,1,0.073,1,0.397
"P39_2",0.463,1,0.536,0.534,0.825,1,1,0.866,0.883,0.62,0.494,0.369,0.73,1,0.343,0.668,0.07,1,0.659,0.189,0.728,0.592,0.691,1,0.321,0.052,0.866,1,1,1,0.246,0.526,0.696,0.103,0.93,0.092,0.745,0.007,NA,1,1,1,0.718,0.965,0.994,0.014,1,0.614,0.103,0.142,0.784,1,0.493,0.366,0.159,0.126,0.73,0.457,0.93,0.001,0.375,0.929
"P39_3",0.285,0.011,0.127,0.243,0.96,0.284,0.429,0.561,0.308,0.979,1,0.204,0.466,1,0.391,0.662,1,0.021,0.136,0.526,0.637,0.284,0.89,0.192,0.746,0.16,0.097,0.76,0.111,0.414,0.284,0.563,0.559,0.799,1,0.42,0.302,0.478,1,NA,0.808,0.04,0.547,0.105,0.793,1,1,0.478,0.799,0.775,0.167,0.269,0.131,0.67,0.664,0.134,0.466,0.846,0.317,0.016,0.148,1
"P39_4",0.715,0.217,0.391,0.065,1,1,0.779,1,1,1,1,1,0.74,1,1,1,1,0.929,0.589,0.749,0.409,1,0.702,1,1,1,0.546,1,0.831,0.961,0.808,0.71,0.243,1,0.434,0.474,0.394,0.05,1,0.808,NA,1,1,0.966,1,1,1,1,0.649,0.961,1,1,1,0.721,0.557,0.621,0.74,0.929,1,0.273,0.992,0.201
"P39_5",0.304,0.131,0.264,0.541,0.817,1,0.415,1,0.428,0.86,0.823,0.148,0.419,0.162,0.472,1,0.332,0.77,0.368,0.744,0.381,0.553,0.993,0.371,0.238,0.126,1,1,0.743,0.369,0.945,0.831,0.904,0.613,0.923,0.118,0.494,1,1,0.04,1,NA,0.141,1,0.564,0.639,0.993,0.239,0.613,0.369,0.523,0.864,0.268,1,1,0.242,1,0.191,0.613,1,1,0.636
"P41_1",0,1,0.591,0.356,0.507,0.123,0.371,0.137,1,0.39,0.727,0.967,0.659,1,0.12,0.928,1,0.695,0.943,0.83,0.504,0.638,0.735,0.914,1,0.79,0.537,1,0.133,0.285,0.314,0.225,0.373,0.053,0.638,0.257,0.059,0.572,0.718,0.547,1,0.141,NA,0.699,0.002,1,0.271,0.902,0.338,0.002,0.046,0.006,0.138,0.537,0.61,0.874,0.942,1,0.638,0.285,0.08,1
"P41_2",0.47,0.797,0.14,0.327,1,0.503,0.186,1,1,1,0.619,0.129,0,1,0.926,0.068,0.144,0.576,0.442,0.612,0.12,0.503,0.546,0.29,1,1,1,0.619,1,0.069,1,0.632,0.802,0.748,1,0.327,0.166,0.421,0.965,0.105,0.966,1,0.699,NA,0.362,0.965,0.117,0.247,1,0.219,0.024,0.138,0.708,1,1,0.362,0.529,0.576,0.309,0.219,0.189,0.593
"P41_3",0.511,1,0.209,0.128,0.204,1,0.317,0.031,0.271,1,0.936,0.005,1,1,0.864,0.255,0.052,0.057,0.089,0.346,0.316,1,0.784,0.194,0.937,0.776,0.031,0.074,0.01,0.291,0.722,0.387,0.496,0.016,0.869,0.379,0.108,0.544,0.994,0.793,1,0.564,0.002,0.362,NA,0.442,0.138,0.076,0.003,0.291,0.715,0,0.127,0.012,0.001,0.089,0.987,0.638,0,0.918,0.49,1
"P41_4",0.463,0.238,0.953,0.227,0.61,0.246,0.809,0.866,1,1,1,0.369,1,0.717,0.026,1,0.07,0.576,0.689,0.106,0.851,0.755,0.691,0.063,0.772,0.557,1,1,1,0.034,1,0.543,0.696,0.016,0.145,0.017,0.402,1,0.014,1,1,0.639,1,0.965,0.442,NA,0.419,0.111,0.016,0.005,0.784,0.09,0.493,0.709,0.441,0.022,0.73,0.927,0.016,0.142,1,0.443
